image_id,question_id,question,answer,image_path
581282,581282004,What is the colors of the umbrellas?,purple,images/COCO_train2014_000000581282.jpg
286100,286100000,What are the white things on the elephant?,tusks,images/COCO_train2014_000000286100.jpg
401829,401829005,What number of trees are on the side of the hillside?,15,images/COCO_train2014_000000401829.jpg
336688,336688000,What are the devices sitting on?,floor,images/COCO_train2014_000000336688.jpg
63943,63943004,What is the most colorful object in the picture?,cones,images/COCO_train2014_000000063943.jpg
418586,418586000,What type of bird is this?,seagull,images/COCO_train2014_000000418586.jpg
95726,95726002,What are people allowed to look into?,airplane,images/COCO_train2014_000000095726.jpg
483769,483769000,What is on the left side of the table?,cake,images/COCO_train2014_000000483769.jpg
314285,314285010,What time of day is this?,daytime,images/COCO_train2014_000000314285.jpg
568873,568873000,What are the young men doing in the picture?,talking,images/COCO_train2014_000000568873.jpg
370171,370171000,What would this icing on the cake taste like?,vanilla,images/COCO_train2014_000000370171.jpg
30983,30983000,How long is the man's hair?,short,images/COCO_train2014_000000030983.jpg
209941,209941000,What is the bird sitting on?,rock,images/COCO_train2014_000000209941.jpg
13986,13986006,What color is the bird?,gray,images/COCO_train2014_000000013986.jpg
410441,410441000,What culture are the dishes shown from?,asian,images/COCO_train2014_000000410441.jpg
451667,451667004,Is this an urban or suburban scene?,urban,images/COCO_train2014_000000451667.jpg
219762,219762001,Where is the teapot?,stove,images/COCO_train2014_000000219762.jpg
573749,573749023,What operating system does the computer run on?,windows,images/COCO_train2014_000000573749.jpg
428120,428120002,Where is the toilet roll?,shelf,images/COCO_train2014_000000428120.jpg
448124,448124002,Is the bench made of wood or metal?,metal,images/COCO_train2014_000000448124.jpg
480831,480831002,What is outside the window?,ladder,images/COCO_train2014_000000480831.jpg
491502,491502000,What meat is on the pizza?,ham,images/COCO_train2014_000000491502.jpg
448571,448571000,What are the orange slices?,carrots,images/COCO_train2014_000000448571.jpg
236228,236228000,What is the girl wearing on her head?,scarf,images/COCO_train2014_000000236228.jpg
