prediction,ground_truth,anls_score,exact_match
rainbow,purple,0.0,False
tusks,tusks,1.0,True
lot,15,0.0,False
couch,floor,0.0,False
sign,cones,0.0,False
seagull,seagull,1.0,True
plane,airplane,0.625,False
cake,cake,1.0,True
afternoon,daytime,0.0,False
playing frisbee,talking,0.0,False
birthday,vanilla,0.0,False
short,short,1.0,True
branch,rock,0.0,False
gray,gray,1.0,True
chinese,asian,0.0,False
urban,urban,1.0,True
on counter,stove,0.0,False
windows,windows,1.0,True
on wall,shelf,0.0,False
metal,metal,1.0,True
window,ladder,0.0,False
ham,ham,1.0,True
carrots,carrots,1.0,True
hat,scarf,0.0,False
cat,cat,1.0,True
25,25,1.0,True
sheep,sheep,1.0,True
tennis ball,tennis ball,1.0,True
glove,glove,1.0,True
sitting,sitting,1.0,True
toothbrush,toothbrush,1.0,True
child,child,1.0,True
tabby,calico,0.0,False
6,1,0.0,False
12,16,0.5,False
playing tennis,serve,0.0,False
bike,bicycle,0.0,False
horse,horse,1.0,True
floor,floor,1.0,True
baseball,baseball,1.0,True
kite,kites,0.8,False
dog,dog,1.0,True
sheep,grass,0.0,False
soccer ball,ball,0.0,False
silver,silver,1.0,True
bakery,bakery,1.0,True
clock,curtain,0.0,False
short,long,0.0,False
food,dishes,0.0,False
terrier,mutt,0.0,False
bowl,hat,0.0,False
cows,cows,1.0,True
many,many,1.0,True
0,3,0.0,False
delta,pepsi,0.0,False
asia,asia,1.0,True
winter,winter,1.0,True
9,5,0.0,False
tulips,lilies,0.5,False
black and white,black and white,1.0,True
elephant,elephant,1.0,True
beer,beer,1.0,True
wine,wine,1.0,True
shirt,glasses,0.0,False
green,pink,0.0,False
clay,clay,1.0,True
bananas,bananas,1.0,True
grass,fence,0.0,False
4,0,0.0,False
apple,pineapple,0.5555555555555556,False
laptop,book,0.0,False
hat,sunglasses,0.0,False
sitting,sitting,1.0,True
hot dog,hot dog,1.0,True
gas,military,0.0,False
mercedes,ford,0.0,False
broccoli,grilled,0.0,False
breakfast,banana,0.0,False
many,200,0.0,False
laptop,laptop,1.0,True
red and white,purple,0.0,False
helmet,helmet,1.0,True
giraffe,africa,0.0,False
floral,polka dot,0.0,False
wine,wine,1.0,True
gray,blue,0.0,False
bus,car,0.0,False
tennis,tennis,1.0,True
cow,cow,1.0,True
kitchen,home,0.0,False
9,22,0.0,False
no parking,main,0.0,False
bus stop,bus,0.0,False
bracelet,bracelet,1.0,True
pink,pink,1.0,True
scissors,scissors,1.0,True
kite,kite,1.0,True
airport,airport,1.0,True
double decker,double decker,1.0,True
trees,mountains,0.0,False
1,2,0.0,False
bird,bird,1.0,True
tie,umbrella,0.0,False
banana,banana,1.0,True
umbrella,umbrella,1.0,True
wii,wii,1.0,True
ski lift,big,0.0,False
fall,fall,1.0,True
usa,france,0.0,False
motorola,nokia,0.0,False
wild,wild,1.0,True
bottles,bottles,1.0,True
snowboarding,snowboarding,1.0,True
kites,kites,1.0,True
french fries,chicken,0.0,False
elephants,elephants,1.0,True
plaid,plaid,1.0,True
texting,texting,1.0,True
mustard,pickles,0.0,False
female,male,0.6666666666666667,False
harley,harley,1.0,True
white,clear,0.0,False
1,12,0.5,False
plaid,plaid,1.0,True
parade,parade,1.0,True
food,man,0.0,False
downtown,downtown,1.0,True
toilet paper,toilet paper,1.0,True
bananas,bananas,1.0,True
10,5,0.0,False
toothbrush,toothbrush,1.0,True
9,0,0.0,False
no one,man,0.0,False
cows,cows,1.0,True
oven,oven,1.0,True
ocean,ocean,1.0,True
dinner,drinking,0.0,False
grass,dirt,0.0,False
washington dc,park,0.0,False
skateboard,skateboard,1.0,True
purple,pink,0.0,False
reading,reading,1.0,True
sweet,high,0.0,False
kia,ford,0.0,False
south,north,0.6,False
plane,plane,1.0,True
asian,american,0.5,False
blue,orange,0.0,False
umbrella,umbrella,1.0,True
cabinet,nothing,0.0,False
walking,biking,0.5714285714285714,False
striped,striped,1.0,True
plate,plate,1.0,True
male,male,1.0,True
fall,fall,1.0,True
9,many,0.0,False
lab,mutt,0.0,False
english,english,1.0,True
stop,closed,0.0,False
umbrella,camera,0.0,False
zoo,zoo,1.0,True
red and white,yellow,0.0,False
wilson,kia,0.0,False
elephant,elephant,1.0,True
0,4,0.0,False
10,11,0.5,False
fireplace,decoration,0.0,False
stone,stone,1.0,True
couch,couch,1.0,True
kites,kite,0.8,False
phone,camera,0.0,False
circle,round,0.0,False
0,10,0.5,False
0,1,0.0,False
gray,gray,1.0,True
sunny,clear,0.0,False
palm,cherry,0.0,False
red and white,red and blue,0.6923076923076923,False
knife,spoon,0.0,False
cat,cats,0.75,False
orange and white,white and blue,0.0,False
snow,snow,1.0,True
brick,brick,1.0,True
wine,wine,1.0,True
girl,girl,1.0,True
fence,fence,1.0,True
soccer,soccer,1.0,True
basket,person,0.0,False
elephant,elephant,1.0,True
stop sign,building,0.0,False
man,man,1.0,True
hat,headphones,0.0,False
tile,tile,1.0,True
black,tan,0.0,False
woman,woman,1.0,True
cow,cow,1.0,True
on plate,plate,0.625,False
magnets,magnets,1.0,True
straw,dirty,0.0,False
blue and white,silver,0.0,False
grass,grass,1.0,True
bat,bat,1.0,True
truck,car,0.0,False
donuts,donuts,1.0,True
middle,closed,0.0,False
long,long,1.0,True
plane,plane,1.0,True
zebras,zebras,1.0,True
stripes,stripes,1.0,True
fire hydrant,parking,0.0,False
leash,tongue,0.0,False
hat,belt,0.0,False
kites,kites,1.0,True
cat,cat,1.0,True
10,many,0.0,False
parking meter,wall,0.0,False
table,table,1.0,True
fire hydrant,light,0.0,False
phone,trash,0.0,False
spoon,fork,0.0,False
tree,sun,0.0,False
plants,trees,0.0,False
blonde,blonde,1.0,True
sky,ground,0.0,False
tennis,tennis,1.0,True
many,9,0.0,False
winter,winter,1.0,True
plant,plant,1.0,True
coca cola,coca cola,1.0,True
orange,oranges,0.8571428571428572,False
left,right,0.0,False
cake,cake,1.0,True
